p,method,coverage,coverage_error,mcse,gamma_mean,N,err_sqrt,err_linear
0.5,calibrated,0.9501875,0.0001875000000000071,0.0017199421291817865,0.010659483258046257,300,0.003247595264191768,0.05625000000000213
0.8,gaussian,0.9285625,0.021437499999999998,0.0020361450033358082,0.524264770975648,300,0.3713083918725781,6.4312499999999995
0.8,cornish_fisher,0.902375,0.04762499999999992,0.0023464648859374605,0.524264770975648,300,0.8248891971046765,14.287499999999975
0.8,calibrated,0.9556875,0.0056875000000000675,0.0016269008563782779,0.524264770975648,300,0.09851038968048108,1.7062500000000203
0.9,gaussian,0.8876875,0.06231249999999999,0.002496227182466447,0.664571018256771,300,1.0792841594663567,18.693749999999998
0.9,cornish_fisher,0.848125,0.10187499999999994,0.0028373511455999766,0.664571018256771,300,1.7645267602107928,30.562499999999982
0.9,calibrated,0.9515,0.0015000000000000568,0.0016983033813191327,0.664571018256771,300,0.025980762113534145,0.45000000000001705
0.5,gaussian,0.953875,0.003875000000000073,0.0016582649889078339,0.011003032655382189,330,0.070392870732768,1.278750000000024
0.5,cornish_fisher,0.9535,0.0035000000000000586,0.0016646649437649607,0.011003032655382189,330,0.06358065743604839,1.1550000000000193
0.5,calibrated,0.9518125,0.0018124999999999947,0.0016931011643532639,0.011003032655382189,330,0.03292569760081012,0.5981249999999982
0.8,gaussian,0.9235625,0.026437500000000003,0.0021005179211588216,0.482013882071436,330,0.4802610374187147,8.724375
0.8,cornish_fisher,0.903125,0.046875,0.0023384053644390874,0.482013882071436,330,0.8515266620899196,15.46875
0.8,calibrated,0.9455,0.0044999999999999485,0.0017946056321654627,0.482013882071436,330,0.08174655956063134,1.484999999999983
0.9,gaussian,0.8825625,0.06743749999999993,0.0025451661732801205,0.7265292417558085,330,1.2250630245266962,22.254374999999975
0.9,cornish_fisher,0.8390625,0.11093749999999991,0.002905131463180173,0.7265292417558085,330,2.0152797669461413,36.60937499999997
0.9,calibrated,0.9520625,0.002062500000000078,0.0016889252517087229,0.7265292417558085,330,0.03746717313195788,0.6806250000000258
0.5,gaussian,0.9544375,0.004437500000000094,0.0016486084775074318,-0.017078792302977826,360,0.08419564270198489,1.597500000000034
0.5,cornish_fisher,0.954875,0.004875000000000074,0.0016410502425085887,-0.017078792302977826,360,0.0924966215599265,1.7550000000000265
0.5,calibrated,0.94825,0.0017499999999999183,0.0017512841270764712,-0.017078792302977826,360,0.033203915431766436,0.6299999999999706
0.8,gaussian,0.92875,0.02124999999999999,0.0020336764353628143,0.4951754247602399,360,0.4031904016714682,7.649999999999997
0.8,cornish_fisher,0.9046875,0.04531249999999998,0.0023214761917763394,0.4951754247602399,360,0.8597442388582778,16.312499999999993
0.8,calibrated,0.9520625,0.002062500000000078,0.0016889252517087229,0.4951754247602399,360,0.039133186044585176,0.7425000000000281
0.9,gaussian,0.8965625,0.053437499999999916,0.0024075166613357784,0.8020181239566003,360,1.013905274791485,19.23749999999997
0.9,cornish_fisher,0.8519375,0.09806249999999994,0.002807801587694432,0.8020181239566003,360,1.860605118301569,35.30249999999998
0.9,calibrated,0.9481875,0.0018124999999999947,0.0017522835965489085,0.8020181239566003,360,0.034389769554331026,0.6524999999999981
0.5,gaussian,0.9536875,0.0036875000000000657,0.0016614687091499418,-0.011210858088193911,390,0.0728222901143612,1.4381250000000256
0.5,cornish_fisher,0.9534375,0.0034375000000000933,0.0016657286992813002,-0.011210858088193911,390,0.06788518569982886,1.3406250000000364
0.5,calibrated,0.9498125,0.0001875000000000071,0.001726063346964525,-0.011210858088193911,390,0.003702828310899796,0.07312500000000277
0.8,gaussian,0.930375,0.019625000000000004,0.0020121095797539213,0.4565389602885084,390,0.3875626965408307,7.653750000000001
0.8,cornish_fisher,0.911375,0.03862499999999991,0.002246811760236602,0.4565389602885084,390,0.7627826320453273,15.063749999999965
0.8,calibrated,0.9494375,0.0005624999999999103,0.0017321578593215378,0.4565389602885084,390,0.011108484932697196,0.21937499999996501
0.9,gaussian,0.8864375,0.06356249999999997,0.0025083119148362264,0.6907591694818571,390,1.2552587973949827,24.789374999999986
0.9,cornish_fisher,0.845,0.10499999999999998,0.002861107740019589,0.6907591694818571,390,2.073583854103807,40.949999999999996
0.9,calibrated,0.950375,0.0003750000000000142,0.001716871416541583,0.6907591694818571,390,0.007405656621799592,0.14625000000000554
0.5,gaussian,0.95275,0.00275000000000003,0.0016773758802814593,0.009071434237407782,420,0.05635822921277841,1.1550000000000127
